"Asset_id","Meter_type","StreetName","Location","Description","Lon","Lat",
"259","Single","King Street","216 King Street","Street_parking_meter","-79.251003","42.987303",
"260","Single","King Street","222 King Street","Street_parking_meter","-79.251008","42.987114",
"261","Single","King Street","252 King Street","Street_parking_meter","-79.250997","42.986665",
"262","Double","King Street","252 King Street","Street_parking_meter","-79.251003","42.986562",
"263","Double","King Street","252 King Street","Street_parking_meter","-79.251003","42.986557",
"264","Double","King Street","268 King Street","Street_parking_meter","-79.251015","42.986198",
"265","Double","King Street","268 King Street","Street_parking_meter","-79.251015","42.986202",
"266","Double","King Street","274 King Street","Street_parking_meter","-79.251018","42.986070",
"267","Double","King Street","274 King Street","Street_parking_meter","-79.251018","42.986075",
"268","Double","King Street","290 King Street","Street_parking_meter","-79.251015","42.985667",
"269","Double","King Street","296 King Street","Street_parking_meter","-79.251014","42.985661",
"270","Double","King Street","312 King Street","Street_parking_meter","-79.251021","42.985282",
"271","Double","King Street","312 King Street","Street_parking_meter","-79.251022","42.985278",
"273","Double","King Street","340 King Street","Street_parking_meter","-79.251024","42.984709",
"274","Double","King Street","340 King Street","Street_parking_meter","-79.251024","42.984703",
"275","Double","King Street","340 King Street","Street_parking_meter","-79.251028","42.984598",
"276","Double","King Street","340 King Street","Street_parking_meter","-79.251028","42.984595",
"277","Single","King Street","500 King Street","Street_parking_meter","-79.251170","42.980582",
"278","Double","King Street","500 King Street","Street_parking_meter","-79.251174","42.980455",
"279","Double","King Street","500 King Street","Street_parking_meter","-79.251175","42.980448",
"280","Double","King Street","510 King Street","Street_parking_meter","-79.251175","42.980326",
"281","Double","King Street","510 King Street","Street_parking_meter","-79.251175","42.980319",
"282","Double","King Street","510 King Street","Street_parking_meter","-79.251174","42.980189",
"283","Double","King Street","510 King Street","Street_parking_meter","-79.251175","42.980183",
"284","Double","King Street","510 King Street","Street_parking_meter","-79.251175","42.980061",
"285","Double","King Street","510 King Street","Street_parking_meter","-79.251176","42.980056",
"286","Double","King Street","520 King Street","Street_parking_meter","-79.251176","42.979931",
"287","Double","King Street","520 King Street","Street_parking_meter","-79.251175","42.979925",
"288","Single","King Street","540 King Street","Street_parking_meter","-79.251181","42.979398",
"311","Double","King Street","642 King Street","Street_parking_meter","-79.251138","42.975339",
"312","Double","King Street","642 King Street","Street_parking_meter","-79.251138","42.975334",
"313","Double","King Street","650 King Street","Street_parking_meter","-79.251136","42.975284",
"314","Double","King Street","650 King Street","Street_parking_meter","-79.251136","42.975280",
"315","Double","King Street","676 King Street","Street_parking_meter","-79.251136","42.975010",
"316","Double","King Street","676 King Street","Street_parking_meter","-79.251136","42.975003",
"317","Single","King Street","676 King Street","Street_parking_meter","-79.251140","42.974897",
"320","Double","King Street","627 King Street","Street_parking_meter","-79.251388","42.976122",
"321","Double","King Street","627 King Street","Street_parking_meter","-79.251389","42.976120",
"322","Double","King Street","645 King Street","Street_parking_meter","-79.251398","42.975512",
"323","Double","King Street","645 King Street","Street_parking_meter","-79.251398","42.975509",
"324","Single","King Street","649 King Street","Street_parking_meter","-79.251393","42.975367",
"325","Single","King Street","657 King Street","Street_parking_meter","-79.251395","42.975243",
"326","Single","King Street","667 King Street","Street_parking_meter","-79.251398","42.975136",
"797","Double","King Street","676 King Street","Street_parking_meter","-79.251138","42.974938",
"798","Double","King Street","676 King Street","Street_parking_meter","-79.251138","42.974947",
"799","Single","King Street","676 King Street","Street_parking_meter","-79.251138","42.975044",
"800","Single","King Street","676 King Street","Street_parking_meter","-79.251135","42.975074",
"801","Single","King Street","650 King Street","Street_parking_meter","-79.251138","42.975243",
"802","Double","King Street","537 King Street","Street_parking_meter","-79.251185","42.979264",
"803","Double","King Street","537 King Street","Street_parking_meter","-79.251185","42.979261",
"804","Double","King Street","545 King Street","Street_parking_meter","-79.251186","42.979127",
"805","Double","King Street","545 King Street","Street_parking_meter","-79.251186","42.979123",
"806","Double","King Street","551 King Street","Street_parking_meter","-79.251188","42.979006",
"807","Double","King Street","551 King Street","Street_parking_meter","-79.251188","42.979001",
"808","Double","King Street","561 King Street","Street_parking_meter","-79.251187","42.978878",
"809","Double","King Street","561 King Street","Street_parking_meter","-79.251187","42.978871",
"810","Double","King Street","569 King Street","Street_parking_meter","-79.251193","42.978290",
"811","Double","King Street","569 King Street","Street_parking_meter","-79.251193","42.978286",
"812","Double","King Street","569 King Street","Street_parking_meter","-79.251192","42.978154",
"813","Double","King Street","569 King Street","Street_parking_meter","-79.251192","42.978149",
"814","Double","King Street","583 King Street","Street_parking_meter","-79.251195","42.978039",
"815","Double","King Street","583 King Street","Street_parking_meter","-79.251195","42.978034",
"816","Double","King Street","591 King Street","Street_parking_meter","-79.251194","42.977901",
"817","Double","King Street","591 King Street","Street_parking_meter","-79.251196","42.977897",
"818","Double","King Street","517 King Street","Street_parking_meter","-79.251343","42.980080",
"819","Single","King Street","529 King Street","Street_parking_meter","-79.251343","42.979825",
"820","Single","King Street","539 King Street","Street_parking_meter","-79.251345","42.979352",
"821","Single","King Street","543 King Street","Street_parking_meter","-79.251346","42.979249",
"822","Single","King Street","545 King Street","Street_parking_meter","-79.251344","42.979131",
"823","Double","King Street","551 King Street","Street_parking_meter","-79.251351","42.979045",
"824","Double","King Street","551 King Street","Street_parking_meter","-79.251351","42.979046",
"825","Double","King Street","569 King Street","Street_parking_meter","-79.251356","42.978389",
"826","Double","King Street","569 King Street","Street_parking_meter","-79.251356","42.978386",
"827","Single","King Street","583 King Street","Street_parking_meter","-79.251358","42.978116",
"828","Double","King Street","585 King Street","Street_parking_meter","-79.251358","42.978056",
"829","Double","King Street","585 King Street","Street_parking_meter","-79.251358","42.978054",
"830","Single","King Street","591 King Street","Street_parking_meter","-79.251358","42.977878",
"831","Double","King Street","597 King Street","Street_parking_meter","-79.251357","42.977812",
"832","Double","King Street","597 King Street","Street_parking_meter","-79.251357","42.977808",
"833","Double","King Street","633 King Street","Street_parking_meter","-79.251386","42.976001",
"834","Double","King Street","629 King Street","Street_parking_meter","-79.251387","42.976007",
"835","Single","King Street","642 King Street","Street_parking_meter","-79.251136","42.975378",
"836","Single","King Street","334 King Street","Street_parking_meter","-79.251026","42.984815",
"837","Single","King Street","208 King Street","Street_parking_meter","-79.250999","42.987454",
"839","Double","King Street","517 King Street","Street_parking_meter","-79.251343","42.980077",
"843","Single","Plymouth Road","226 Plymouth Road","Lot_parking_machine","-79.245845","42.978089",
"844","Single","Ontario Road","Ontario Road @ King Street","Lot_parking_machine","-79.250386","42.974847",
"845","Single","King Street","636 King Street","Lot_parking_machine","-79.250725","42.975510",
"846","Single","Young Street","70 Young Street","Lot_parking_machine","-79.249094","42.989567",
"847","Single","East Main Street","60 East Main Street","Lot_parking_machine","-79.248680","42.992913",
"848","Single","East Main Street","102 East Main Street","Lot_parking_machine","-79.248393","42.993222",
