Address,Heritage Value
1 Abbey Avenue  ,Designated Heritage Conservation District
14 Abbey Avenue  ,Designated Heritage Conservation District
5/ Abbey Avenue  ,Designated Heritage Conservation District
9 Abbey Avenue  ,Designated Heritage Conservation District
1 Ann Street  ,Designated Heritage Conservation District
12 Ann Street  ,Designated Heritage Conservation District
21 Ann Street  ,Designated Heritage Conservation District
29 Ann Street  ,Designated Heritage Conservation District
33 Ann Street  ,Designated Heritage Conservation District
40 Ann Street  ,Designated Heritage Conservation District
42 Ann Street  ,Designated Heritage Conservation District
43 Ann Street  ,Designated Heritage Conservation District
5 Ann Street  ,Designated Heritage Conservation District
7 Ann Street  ,Designated Heritage Conservation District
18 Bayview Drive  ,Designated Heritage Conservation District
20 Bayview Drive  ,Designated Heritage Conservation District
22 Bayview Drive  ,Designated Heritage Conservation District
28 Bayview Drive  ,Designated Heritage Conservation District
32 Bayview Drive  ,Designated Heritage Conservation District
39 Bayview Drive  ,Designated Heritage Conservation District
71 Bayview Drive  ,Designated Heritage Conservation District
83 Bayview Drive  ,Designated Heritage Conservation District
87A Bayview Drive  ,Designated Heritage Conservation District
88 Bayview Drive  ,Designated Heritage Conservation District
89 Bayview Drive  ,Designated Heritage Conservation District
90 Bayview Drive  ,Designated Heritage Conservation District
90/ Bayview Drive  ,Designated Heritage Conservation District
50 Brewery Street  ,Designated Heritage Conservation District
52 Brewery Street  ,Designated Heritage Conservation District
25 Brock Street  ,Designated Heritage Conservation District
10 Canal Street  ,Designated Heritage Conservation District
11 Canal Street  ,Designated Heritage Conservation District
17 Canal Street  ,Designated Heritage Conservation District
21 Canal Street  ,Designated Heritage Conservation District
22 Canal Street  ,Designated Heritage Conservation District
27 Canal Street  ,Designated Heritage Conservation District
35 Canal Street  ,Designated Heritage Conservation District
40 Canal Street  ,Designated Heritage Conservation District
42 Canal Street  ,Designated Heritage Conservation District
42/ Canal Street  ,Designated Heritage Conservation District
7 Canal Street  ,Designated Heritage Conservation District
9 Canal Street  ,Designated Heritage Conservation District
15 Cherry Street  ,Designated Heritage Conservation District
17 Cherry Street  ,Designated Heritage Conservation District
27 Cherry Street  ,Designated Heritage Conservation District
27/ Cherry Street  ,Designated Heritage Conservation District
29 Cherry Street  ,Designated Heritage Conservation District
31 Cherry Street  ,Designated Heritage Conservation District
33 Cherry Street  ,Designated Heritage Conservation District
35/ Cherry Street  ,Designated Heritage Conservation District
37 Cherry Street  ,Designated Heritage Conservation District
40 Cherry Street  ,Designated Heritage Conservation District
1 Christie Street  ,Designated Heritage Conservation District
18 Christie Street  ,Designated Heritage Conservation District
45 Christie Street  ,Designated Heritage Conservation District
59 Christie Street  ,Designated Heritage Conservation District
62 Christie Street  ,Designated Heritage Conservation District
64 Christie Street  ,Designated Heritage Conservation District
1 College Street  ,Designated Heritage Conservation District
10 College Street  ,Designated Heritage Conservation District
11 College Street  ,Designated Heritage Conservation District
2 College Street  ,Designated Heritage Conservation District
2A College Street  ,Designated Heritage Conservation District
3 College Street  ,Designated Heritage Conservation District
4 College Street  ,Designated Heritage Conservation District
6 College Street  ,Designated Heritage Conservation District
7 College Street  ,Designated Heritage Conservation District
8 College Street  ,Designated Heritage Conservation District
9 College Street  ,Designated Heritage Conservation District
1 Considine Avenue  ,Designated Heritage Conservation District
13 Considine Avenue  ,Designated Heritage Conservation District
15 Considine Avenue  ,Designated Heritage Conservation District
16 Considine Avenue  ,Designated Heritage Conservation District
20 Considine Avenue  ,Designated Heritage Conservation District
25 Considine Avenue  ,Designated Heritage Conservation District
1 Dalhousie Avenue  ,Designated Heritage Conservation District
1/ Dalhousie Avenue  ,Designated Heritage Conservation District
108 Dalhousie Avenue  ,Designated Heritage Conservation District
114 Dalhousie Avenue  ,Designated Heritage Conservation District
123 Dalhousie Avenue  ,Designated Heritage Conservation District
125 Dalhousie Avenue  ,Designated Heritage Conservation District
131 Dalhousie Avenue  ,Designated Heritage Conservation District
140 Dalhousie Avenue  ,Designated Heritage Conservation District
144 Dalhousie Avenue  ,Designated Heritage Conservation District
147 Dalhousie Avenue  ,Designated Heritage Conservation District
166 Dalhousie Avenue  ,Designated Heritage Conservation District
17 Dalhousie Avenue  ,Designated Heritage Conservation District
3 Dalhousie Avenue  ,Designated Heritage Conservation District
38 Dalhousie Avenue  ,Designated Heritage Conservation District
47 Dalhousie Avenue  ,Designated Heritage Conservation District
50 Dalhousie Avenue  ,Designated Heritage Conservation District
55 Dalhousie Avenue  ,Designated Heritage Conservation District
60 Dalhousie Avenue  ,Designated Heritage Conservation District
62 Dalhousie Avenue  ,Designated Heritage Conservation District
68 Dalhousie Avenue  ,Designated Heritage Conservation District
70 Dalhousie Avenue  ,Designated Heritage Conservation District
97 Dalhousie Avenue  ,Designated Heritage Conservation District
99 Dalhousie Avenue  ,Designated Heritage Conservation District
1 Elgin Street  ,Designated Heritage Conservation District
14 Elgin Street  ,Designated Heritage Conservation District
2 Elgin Street  ,Designated Heritage Conservation District
32 Elgin Street  ,Designated Heritage Conservation District
34 Elgin Street  ,Designated Heritage Conservation District
35 Elgin Street  ,Designated Heritage Conservation District
36 Elgin Street  ,Designated Heritage Conservation District
37 Elgin Street  ,Designated Heritage Conservation District
39 Elgin Street  ,Designated Heritage Conservation District
40 Elgin Street  ,Designated Heritage Conservation District
17 Gertrude Street  ,Designated Heritage Conservation District
24 Gertrude Street  ,Designated Heritage Conservation District
8 Gertrude Street  ,Designated Heritage Conservation District
15 Graham Avenue  ,Designated Heritage Conservation District
17 Graham Avenue  ,Designated Heritage Conservation District
24 Graham Avenue  ,Designated Heritage Conservation District
3 Graham Avenue  ,Designated Heritage Conservation District
1 Hogans Alley  ,Designated Heritage Conservation District
19 Johnston Street  ,Designated Heritage Conservation District
21 Johnston Street  ,Designated Heritage Conservation District
22 Johnston Street  ,Designated Heritage Conservation District
37 Johnston Street  ,Designated Heritage Conservation District
46 Johnston Street  ,Designated Heritage Conservation District
12 Lakeport Road  ,Designated Heritage Conservation District
14 Lakeport Road  ,Designated Heritage Conservation District
15 Lakeport Road  ,Designated Heritage Conservation District
18A Lakeport Road  ,Designated Heritage Conservation District
2 Lakeport Road  ,Designated Heritage Conservation District
26 Lakeport Road  ,Designated Heritage Conservation District
28 Lakeport Road  ,Designated Heritage Conservation District
57 Lakeport Road  ,Designated Heritage Conservation District
59A Lakeport Road  ,Designated Heritage Conservation District
61 Lakeport Road  ,Designated Heritage Conservation District
63 Lakeport Road  ,Designated Heritage Conservation District
1 Lock Street  ,Designated Heritage Conservation District
12 Lock Street  ,Designated Heritage Conservation District
15 Lock Street  ,Designated Heritage Conservation District
16 Lock Street  ,Designated Heritage Conservation District
17 Lock Street  0019,Designated Heritage Conservation District
20 Lock Street  ,Designated Heritage Conservation District
20A Lock Street  ,Designated Heritage Conservation District
22 Lock Street  ,Designated Heritage Conservation District
30 Lock Street  ,Designated Heritage Conservation District
33 Lock Street  ,Designated Heritage Conservation District
34 Lock Street  ,Designated Heritage Conservation District
39 Lock Street  ,Designated Heritage Conservation District
42 Lock Street  ,Designated Heritage Conservation District
45 Lock Street  ,Designated Heritage Conservation District
5 Lock Street  ,Designated Heritage Conservation District
9 Lock Street  ,Designated Heritage Conservation District
100 Main Street  ,Designated Heritage Conservation District
103 Main Street  ,Designated Heritage Conservation District
106 Main Street  ,Designated Heritage Conservation District
112 Main Street  ,Designated Heritage Conservation District
115 Main Street  ,Designated Heritage Conservation District
120 Main Street  ,Designated Heritage Conservation District
122 Main Street  ,Designated Heritage Conservation District
128 Main Street  ,Designated Heritage Conservation District
130 Main Street  ,Designated Heritage Conservation District
132 Main Street  ,Designated Heritage Conservation District
136 Main Street  ,Designated Heritage Conservation District
137 Main Street  ,Designated Heritage Conservation District
144 Main Street  ,Designated Heritage Conservation District
146 Main Street  ,Designated Heritage Conservation District
149 Main Street  ,Designated Heritage Conservation District
152 Main Street  ,Designated Heritage Conservation District
158 Main Street  ,Designated Heritage Conservation District
159 Main Street  ,Designated Heritage Conservation District
160 Main Street  ,Designated Heritage Conservation District
162 Main Street  ,Designated Heritage Conservation District
174 Main Street  ,Designated Heritage Conservation District
177 Main Street  ,Designated Heritage Conservation District
178 Main Street  ,Designated Heritage Conservation District
183 Main Street  ,Designated Heritage Conservation District
19 Main Street  ,Designated Heritage Conservation District
192 Main Street  ,Designated Heritage Conservation District
202 Main Street  ,Designated Heritage Conservation District
40 Main Street  ,Designated Heritage Conservation District
42 Main Street  ,Designated Heritage Conservation District
47 Main Street  ,Designated Heritage Conservation District
50 Main Street  ,Designated Heritage Conservation District
51 Main Street  ,Designated Heritage Conservation District
55 Main Street  0101,Designated Heritage Conservation District
55 Main Street  ,Designated Heritage Conservation District
55 Main Street  0302,Designated Heritage Conservation District
55 Main Street  0203,Designated Heritage Conservation District
55 Main Street  0303,Designated Heritage Conservation District
55 Main Street  0102,Designated Heritage Conservation District
55 Main Street  0301,Designated Heritage Conservation District
55 Main Street  0202,Designated Heritage Conservation District
55 Main Street  0103,Designated Heritage Conservation District
55 Main Street  0201,Designated Heritage Conservation District
62 Main Street  ,Designated Heritage Conservation District
62 Main Street  001B,Designated Heritage Conservation District
62 Main Street  003B,Designated Heritage Conservation District
62 Main Street  003C,Designated Heritage Conservation District
62 Main Street  001A,Designated Heritage Conservation District
62 Main Street  002A,Designated Heritage Conservation District
62 Main Street  002B,Designated Heritage Conservation District
62 Main Street  002C,Designated Heritage Conservation District
62 Main Street  003A,Designated Heritage Conservation District
63 Main Street  ,Designated Heritage Conservation District
70 Main Street  0302,Designated Heritage Conservation District
70 Main Street  0303,Designated Heritage Conservation District
70 Main Street  0304,Designated Heritage Conservation District
70 Main Street  0305,Designated Heritage Conservation District
70 Main Street  0307,Designated Heritage Conservation District
70 Main Street  0107,Designated Heritage Conservation District
70 Main Street  0301,Designated Heritage Conservation District
70 Main Street  0308,Designated Heritage Conservation District
70 Main Street  0104,Designated Heritage Conservation District
70 Main Street  ,Designated Heritage Conservation District
70 Main Street  0202,Designated Heritage Conservation District
70 Main Street  0203,Designated Heritage Conservation District
70 Main Street  0306,Designated Heritage Conservation District
70 Main Street  0101,Designated Heritage Conservation District
70 Main Street  0102,Designated Heritage Conservation District
70 Main Street  0103,Designated Heritage Conservation District
70 Main Street  0105,Designated Heritage Conservation District
70 Main Street  0106,Designated Heritage Conservation District
70 Main Street  0108,Designated Heritage Conservation District
70 Main Street  0201,Designated Heritage Conservation District
70 Main Street  0204,Designated Heritage Conservation District
70 Main Street  0205,Designated Heritage Conservation District
70 Main Street  0206,Designated Heritage Conservation District
70 Main Street  0207,Designated Heritage Conservation District
70 Main Street  0208,Designated Heritage Conservation District
71 Main Street  ,Designated Heritage Conservation District
84 Main Street  ,Designated Heritage Conservation District
87 Main Street  ,Designated Heritage Conservation District
91 Main Street  ,Designated Heritage Conservation District
93 Main Street  ,Designated Heritage Conservation District
96 Main Street  ,Designated Heritage Conservation District
1 Masefield Avenue  ,Designated Heritage Conservation District
2 Masefield Avenue  ,Designated Heritage Conservation District
4 Masefield Avenue  ,Designated Heritage Conservation District
5 Masefield Avenue  ,Designated Heritage Conservation District
6 Masefield Avenue  ,Designated Heritage Conservation District
1 Midland Street  ,Designated Heritage Conservation District
13 Midland Street  ,Designated Heritage Conservation District
3 Midland Street  ,Designated Heritage Conservation District
5 Midland Street  ,Designated Heritage Conservation District
9 Midland Street  ,Designated Heritage Conservation District
1 Montebello Place  ,Designated Heritage Conservation District
2 Muir Avenue  ,Designated Heritage Conservation District
10 Norris Place  ,Designated Heritage Conservation District
11 Norris Place  ,Designated Heritage Conservation District
13 Norris Place  ,Designated Heritage Conservation District
14 Norris Place  0401,Designated Heritage Conservation District
14 Norris Place  0503,Designated Heritage Conservation District
14 Norris Place  0402,Designated Heritage Conservation District
14 Norris Place  0502,Designated Heritage Conservation District
14 Norris Place  ,Designated Heritage Conservation District
14 Norris Place  0404,Designated Heritage Conservation District
14 Norris Place  0203,Designated Heritage Conservation District
14 Norris Place  0101,Designated Heritage Conservation District
14 Norris Place  0303,Designated Heritage Conservation District
14 Norris Place  0201,Designated Heritage Conservation District
14 Norris Place  0104,Designated Heritage Conservation District
14 Norris Place  0103,Designated Heritage Conservation District
14 Norris Place  0102,Designated Heritage Conservation District
14 Norris Place  0301,Designated Heritage Conservation District
14 Norris Place  0504,Designated Heritage Conservation District
14 Norris Place  0204,Designated Heritage Conservation District
14 Norris Place  0302,Designated Heritage Conservation District
14 Norris Place  0304,Designated Heritage Conservation District
14 Norris Place  0202,Designated Heritage Conservation District
14 Norris Place  0403,Designated Heritage Conservation District
14 Norris Place  0501,Designated Heritage Conservation District
15 Norris Place  ,Designated Heritage Conservation District
17 Norris Place  ,Designated Heritage Conservation District
18 Norris Place  ,Designated Heritage Conservation District
19 Norris Place  ,Designated Heritage Conservation District
2 Norris Place  ,Designated Heritage Conservation District
2/ Norris Place  ,Designated Heritage Conservation District
20 Norris Place  ,Designated Heritage Conservation District
21 Norris Place  ,Designated Heritage Conservation District
22 Norris Place  ,Designated Heritage Conservation District
3 Norris Place  ,Designated Heritage Conservation District
30 Norris Place  ,Designated Heritage Conservation District
6 Norris Place  ,Designated Heritage Conservation District
7 Norris Place  ,Designated Heritage Conservation District
8 Norris Place  ,Designated Heritage Conservation District
9 Norris Place  ,Designated Heritage Conservation District
105 Ontario Street  ,Designated Heritage Conservation District
113 Ontario Street  ,Designated Heritage Conservation District
115 Ontario Street  ,Designated Heritage Conservation District
125 Ontario Street  ,Designated Heritage Conservation District
127 Ontario Street  ,Designated Heritage Conservation District
129 Ontario Street  ,Designated Heritage Conservation District
131 Ontario Street  ,Designated Heritage Conservation District
135 Ontario Street  ,Designated Heritage Conservation District
64 Ontario Street  ,Designated Heritage Conservation District
99 Ontario Street  ,Designated Heritage Conservation District
11 Paxton Avenue  ,Designated Heritage Conservation District
13 Paxton Avenue  ,Designated Heritage Conservation District
6 Paxton Avenue  ,Designated Heritage Conservation District
